"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2991","should show error with invalid password","webkit","Tue Oct 21 19:01:43 UTC 2025","passed","Tue Oct 21 19:01:46 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","4047","2 - should successfully log out","firefox","Tue Oct 21 19:01:02 UTC 2025","passed","Tue Oct 21 19:01:06 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","2552","should show error with empty credentials","webkit","Tue Oct 21 19:01:49 UTC 2025","passed","Tue Oct 21 19:01:51 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2210","should show error with empty credentials","chromium","Tue Oct 21 19:00:46 UTC 2025","passed","Tue Oct 21 19:00:48 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2388","should show error with invalid username","chromium","Tue Oct 21 19:00:43 UTC 2025","passed","Tue Oct 21 19:00:46 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","26","should return 401 with invalid credentials","chromium","Tue Oct 21 19:00:31 UTC 2025","failed","Tue Oct 21 19:00:31 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","3104","1 - should successfully log in via API","chromium","Tue Oct 21 19:00:32 UTC 2025","passed","Tue Oct 21 19:00:35 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","3167","2 - should successfully log out","chromium","Tue Oct 21 19:00:35 UTC 2025","passed","Tue Oct 21 19:00:38 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","6945","1 - should successfully log in via API","firefox","Tue Oct 21 19:00:55 UTC 2025","passed","Tue Oct 21 19:01:02 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","118","should authenticate successfully with valid credentials","chromium","Tue Oct 21 19:00:29 UTC 2025","passed","Tue Oct 21 19:00:29 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","2437","should show error with invalid password","chromium","Tue Oct 21 19:00:41 UTC 2025","passed","Tue Oct 21 19:00:43 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2903","should show error with empty credentials","firefox","Tue Oct 21 19:01:17 UTC 2025","passed","Tue Oct 21 19:01:19 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","2839","should login successfully with valid credentials","chromium","Tue Oct 21 19:00:38 UTC 2025","passed","Tue Oct 21 19:00:41 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3079","should show error with invalid username","firefox","Tue Oct 21 19:01:13 UTC 2025","passed","Tue Oct 21 19:01:16 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3016","should show error with invalid username","webkit","Tue Oct 21 19:01:46 UTC 2025","passed","Tue Oct 21 19:01:49 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","26","should return 401 with invalid credentials","webkit","Tue Oct 21 19:01:27 UTC 2025","failed","Tue Oct 21 19:01:27 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","26","should return 401 with invalid credentials","firefox","Tue Oct 21 19:00:54 UTC 2025","failed","Tue Oct 21 19:00:54 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","107","should authenticate successfully with valid credentials","webkit","Tue Oct 21 19:01:25 UTC 2025","passed","Tue Oct 21 19:01:25 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","3233","should show error with invalid password","firefox","Tue Oct 21 19:01:10 UTC 2025","passed","Tue Oct 21 19:01:13 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3732","2 - should successfully log out","webkit","Tue Oct 21 19:01:35 UTC 2025","passed","Tue Oct 21 19:01:38 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","4027","should show correct error for each empty field","firefox","Tue Oct 21 19:01:19 UTC 2025","passed","Tue Oct 21 19:01:23 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3848","should show correct error for each empty field","webkit","Tue Oct 21 19:01:51 UTC 2025","passed","Tue Oct 21 19:01:55 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","6255","1 - should successfully log in via API","webkit","Tue Oct 21 19:01:28 UTC 2025","passed","Tue Oct 21 19:01:34 UTC 2025","End-to-End Tests","e2e/specs/login-via-api.spec.ts","",""
"","3717","should login successfully with valid credentials","firefox","Tue Oct 21 19:01:06 UTC 2025","passed","Tue Oct 21 19:01:10 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","3318","should show correct error for each empty field","chromium","Tue Oct 21 19:00:48 UTC 2025","passed","Tue Oct 21 19:00:51 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
"","107","should authenticate successfully with valid credentials","firefox","Tue Oct 21 19:00:52 UTC 2025","passed","Tue Oct 21 19:00:52 UTC 2025","API Tests - Real World App","api/specs/users.spec.ts","",""
"","4094","should login successfully with valid credentials","webkit","Tue Oct 21 19:01:38 UTC 2025","passed","Tue Oct 21 19:01:43 UTC 2025","Login Page Tests","ui/specs/login.spec.ts","",""
